SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2957 Bell Ave,San Jose,CA,95133,1198000,3,2.0,SAN JOSE,1550,10207,1957,1,773,,Active,October-14-2023 02:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2957-Bell-Ave-95133/home/1422186,MLSListings,ML81944681,N,Y,37.3766472,-121.8407155
MLS Listing,,Townhouse,832 Azure St,Sunnyvale,CA,94087,1280000,3,2.0,SUNNYVALE,1100,1128,1973,1,1164,375,Active,,,https://www.redfin.com/CA/Sunnyvale/832-Azure-St-94087/home/1351498,MLSListings,ML81944679,N,Y,37.3631055,-122.0312786
MLS Listing,,Multi-Family (2-4 Unit),148 Belwood Ct,Los Gatos,CA,95032,1700000,6,3.0,LOS GATOS,2767,7845,1968,1,614,120,Active,,,https://www.redfin.com/CA/Los-Gatos/148-Belwood-Ct-95032/home/1154364,MLSListings,ML81944678,N,Y,37.2348701,-121.9153765
MLS Listing,,Single Family Residential,3866 Baldwin Dr,Santa Clara,CA,95051,1899950,3,2.0,SANTA CLARA,1508,6600,1958,1,1260,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3866-Baldwin-Dr-95051/home/1830039,MLSListings,ML81944676,N,Y,37.3283677,-122.0027799
MLS Listing,,Condo/Co-op,505 Cypress Point Dr #231,Mountain View,CA,94043,795000,1,1.0,CA MOUNTAIN VIEW,784,2000,1971,1,1014,588,Active,,,https://www.redfin.com/CA/Mountain-View/505-Cypress-Point-Dr-94043/unit-231/home/1747771,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41041585,N,Y,37.3980848,-122.0726959
MLS Listing,,Single Family Residential,3253 Golf Dr,San Jose,CA,95127,1150000,3,2.0,SAN JOSE,1128,5971,1959,1,1020,,Active,October-14-2023 11:00 AM,October-14-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/3253-Golf-Dr-95127/home/945289,MLSListings,ML81944673,N,Y,37.3844856,-121.8377875
MLS Listing,,Single Family Residential,1697 Don Ave,San Jose,CA,95124,1999888,4,2.5,SAN JOSE,2191,6784,1963,1,913,,Active,,,https://www.redfin.com/CA/San-Jose/1697-Don-Ave-95124/home/1204319,MLSListings,ML81943812,N,Y,37.2706175,-121.9102848
MLS Listing,,Single Family Residential,13850 Paseo Del Roble Dr,Los Altos Hills,CA,94022,6998000,5,6.0,LOS ALTOS HILLS,6287,121968,1977,1,1113,,Active,October-13-2023 09:30 AM,October-13-2023 01:30 PM,https://www.redfin.com/CA/Los-Altos-Hills/13850-Paseo-del-Roble-Dr-94022/home/1303494,MLSListings,ML81944670,N,Y,37.3811401,-122.1664848
MLS Listing,,Condo/Co-op,1060 S 3rd St #183,San Jose,CA,95112,658888,1,1.0,SAN JOSE,1100,,2005,1,599,661,Active,October-14-2023 02:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1060-S-3rd-St-95112/unit-183/home/2124529,MLSListings,ML81944669,N,Y,37.3217979,-121.8760512
MLS Listing,,Single Family Residential,1065 Oaktree Dr,San Jose,CA,95129,2860998,6,3.5,SAN JOSE,2284,6856,1964,1,1253,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1065-Oaktree-Dr-95129/home/1265826,MLSListings,ML81944667,N,Y,37.3066644,-122.001625
MLS Listing,,Single Family Residential,18660 Barnhart Ave,Cupertino,CA,95014,2880000,4,4.0,CUPERTINO,3553,6600,2005,1,811,,Active,October-12-2023 10:00 AM,October-12-2023 12:30 PM,https://www.redfin.com/CA/Cupertino/18660-Barnhart-Ave-95014/home/2121593,MLSListings,ML81944666,N,Y,37.3151819,-121.9982937
MLS Listing,,Single Family Residential,50 Southfield Ct,San Jose,CA,95138,1135000,3,2.0,SAN JOSE,1187,5993,1983,1,956,,Active,October-14-2023 01:30 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/50-Southfield-Ct-95138/home/976246,MLSListings,ML81944665,N,Y,37.2445267,-121.780063
MLS Listing,,Condo/Co-op,1445 Fruitdale Ave #222,San Jose,CA,95128,629000,1,1.0,SAN JOSE,723,,2009,1,870,442,Active,October-14-2023 01:30 PM,October-14-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/1445-Fruitdale-Ave-95128/unit-222/home/23047482,MLSListings,ML81944661,N,Y,37.3113172,-121.9162433
MLS Listing,,Single Family Residential,339 N Murphy Ave,Sunnyvale,CA,94085,1249000,2,1.0,SUNNYVALE,790,5200,1942,1,1581,,Active,October-11-2023 04:00 PM,October-11-2023 06:00 PM,https://www.redfin.com/CA/Sunnyvale/339-N-Murphy-Ave-94085/home/1655517,MLSListings,ML81944172,N,Y,37.3855484,-122.0272954
MLS Listing,,Single Family Residential,1467 Liberty Ct,Alviso (san Jose),CA,95002,988888,3,2.0,,1400,6198,1950,1,706,,Active,October-14-2023 01:00 PM,October-14-2023 05:00 PM,https://www.redfin.com/CA/Alviso/1467-Liberty-Ct-95002/home/1272868,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41041574,N,Y,37.426442,-121.97422
MLS Listing,,Single Family Residential,4344 Beechmont Ave,San Jose,CA,95136,1650000,3,2.0,San Jose,1910,5937,1968,1,864,,Active,October-14-2023 12:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/4344-Beechmont-Ave-95136/home/1167078,MetroList,223099082,N,Y,37.2670907,-121.870159
MLS Listing,,Townhouse,173 Sierra Vista Ave #6,Mountain View,CA,94043,1198000,2,2.5,MOUNTAIN VIEW,1196,889,1987,1,1002,452,Active,October-13-2023 09:30 AM,October-13-2023 01:00 PM,https://www.redfin.com/CA/Mountain-View/173-Sierra-Vista-Ave-94043/unit-6/home/1867239,MLSListings,ML81944432,N,Y,37.4032534,-122.0922052
MLS Listing,,Single Family Residential,3980 Casa Grande Way,San Jose,CA,95118,1695000,4,2.5,SAN JOSE,1996,6189,1966,1,849,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3980-Casa-Grande-Way-95118/home/857432,MLSListings,ML81944647,N,Y,37.2658194,-121.8851234
MLS Listing,,Vacant Land,0 San Ramon Ave,Mountain View,CA,94043,2980000,,,MOUNTAIN VIEW,,7664,,1,,,Active,,,https://www.redfin.com/CA/Mountain-View/San-Ramon-Ave-94043/home/95953934,MLSListings,ML81944646,N,Y,37.409043,-122.088696
MLS Listing,,Single Family Residential,15045 Stratford Dr,San Jose,CA,95124,1549000,3,1.5,SAN JOSE,1177,8448,1948,1,1316,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/15045-Stratford-Dr-95124/home/834785,MLSListings,ML81944645,N,Y,37.2592202,-121.9322672
MLS Listing,,Single Family Residential,462 Juanita Dr,Santa Clara,CA,95050,2127111,3,2.5,SANTA CLARA,1440,6234,2018,1,1477,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/462-Juanita-Dr-95050/home/663643,MLSListings,ML81944642,N,Y,37.3358479,-121.9575983
MLS Listing,,Condo/Co-op,508 San Jorge Ter,Sunnyvale,CA,94089,1365000,2,2.5,SUNNYVALE,1579,,2007,1,864,338,Active,October-12-2023 10:00 AM,October-12-2023 12:00 PM,https://www.redfin.com/CA/Sunnyvale/508-San-Jorge-Ter-94089/home/2122903,MLSListings,ML81944640,N,Y,37.3995611,-122.0136825
MLS Listing,,Townhouse,3305 Innerwick Ln,San Jose,CA,95121,525000,2,1.5,SAN JOSE,988,1343,1974,1,531,465,Active,,,https://www.redfin.com/CA/San-Jose/3305-Innerwick-Ln-95121/home/1732491,MLSListings,ML81944639,N,Y,37.309138,-121.8038667
MLS Listing,,Mobile/Manufactured Home,1414 Sunshine Ct #1414,San Jose,CA,95122,595000,4,3.0,SAN JOSE,1830,,2018,1,325,,Active,,,https://www.redfin.com/CA/San-Jose/1414-Sunshine-Ct-95122/unit-1414/home/63742337,MLSListings,ML81944634,N,Y,37.3332097,-121.8485483
MLS Listing,,Single Family Residential,2315 Cherrystone Dr,San Jose,CA,95128,988000,2,1.0,SAN JOSE,806,5965,1950,1,1226,,Active,October-14-2023 01:00 PM,October-14-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/2315-Cherrystone-Dr-95128/home/915376,MLSListings,ML81944631,N,Y,37.3350833,-121.9444002
MLS Listing,,Townhouse,2602 Baton Rouge Dr,San Jose,CA,95133,949000,2,2.5,SAN JOSE,1504,1180,2005,1,631,237,Active,October-14-2023 01:00 PM,October-14-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/2602-Baton-Rouge-Dr-95133/home/2125305,MLSListings,ML81938123,N,Y,37.376032,-121.85005
MLS Listing,,Single Family Residential,858 Hierra Ct,Los Altos,CA,94024,5198000,5,3.5,LOS ALTOS,3397,16700,2013,1,1530,,Active,October-13-2023 09:30 AM,October-13-2023 01:00 PM,https://www.redfin.com/CA/Los-Altos/858-Hierra-Ct-94024/home/1594224,MLSListings,ML81944070,N,Y,37.3465842,-122.0906238
MLS Listing,,Mobile/Manufactured Home,1220 Tasman Dr #220,Sunnyvale,CA,94089,399000,3,2.0,SUNNYVALE,1413,,2000,1,282,,Active,,,https://www.redfin.com/CA/Sunnyvale/1220-Tasman-Dr-94089/unit-220/home/1107626,MLSListings,ML81943109,N,Y,37.4013384,-121.9913911
MLS Listing,,Townhouse,1517 Keesling Ave,San Jose,CA,95125,1488000,3,3.5,SAN JOSE,2462,1965,1981,1,604,250,Active,October-12-2023 10:00 AM,October-12-2023 12:00 PM,https://www.redfin.com/CA/San-Jose/1517-Keesling-Ave-95125/home/1129812,MLSListings,ML81944614,N,Y,37.2953403,-121.9095717
MLS Listing,,Mobile/Manufactured Home,2052 Gold St #34,Alviso,CA,95002,499900,3,2.0,ALVISO,1572,,2022,1,318,,Active,,,https://www.redfin.com/CA/San-Jose/2052-Gold-St-95002/unit-34/home/187942679,MLSListings,ML81944613,N,Y,37.4215796,-121.9741271
MLS Listing,,Mobile/Manufactured Home,440 Moffet #86,Mountain View,CA,94043,329900,2,,MOUNTAIN VIEW,720,,2021,1,458,,Active,,,https://www.redfin.com/CA/Mountain-View/440-Moffett-Blvd-94043/unit-86/home/187941125,MLSListings,ML81944610,N,Y,37.4005583,-122.0742431
MLS Listing,,Single Family Residential,1970 Via Santa Elena,Morgan Hill,CA,95037,3061890,5,5.5,,5122,10891,2024,1,598,375,Active,October-14-2023 11:00 AM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/1970-Via-Santa-Elena-95037/home/187938488,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41041526,N,Y,37.1619059,-121.6331342
MLS Listing,,Mobile/Manufactured Home,5450 Monterey #76,San Jose,CA,95111,429900,3,2.0,SAN JOSE,1458,,2022,1,295,,Active,,,https://www.redfin.com/CA/San-Jose/5450-Monterey-Hwy-95111/unit-76/home/187936457,MLSListings,ML81944607,N,Y,37.2588917,-121.8011412
MLS Listing,,Single Family Residential,2755 Rubino Cir,San Jose,CA,95125,1688000,4,2.5,SAN JOSE,2274,4279,1999,1,742,155,Active,October-11-2023 04:00 PM,October-11-2023 06:00 PM,https://www.redfin.com/CA/San-Jose/2755-Rubino-Cir-95125/home/1675794,MLSListings,ML81944604,N,Y,37.279857,-121.8751396
MLS Listing,,Single Family Residential,16645 De Witt Ave,Morgan Hill,CA,95037,1799000,3,2.0,MORGAN HILL,1852,104478,1974,1,971,,Active,October-14-2023 02:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/16645-De-Witt-Ave-95037/home/1032225,MLSListings,ML81944602,N,Y,37.1154824,-121.6621533
MLS Listing,,Mobile/Manufactured Home,41 Timber Cv #41,Campbell,CA,95008,449500,3,2.0,CAMPBELL,1812,,2014,1,248,20,Active,,,https://www.redfin.com/CA/Campbell/41-Timber-Cove-Dr-95008/unit-41/home/187930354,MLSListings,ML81944590,N,Y,37.2767828,-121.9472888
MLS Listing,,Condo/Co-op,3332 Lake Albano Cir,San Jose,CA,95135,938000,2,2.0,SAN JOSE,1457,,1985,1,644,1266,Active,,,https://www.redfin.com/CA/San-Jose/3332-Lake-Albano-Cir-95135/home/1649114,MLSListings,ML81943454,N,Y,37.2874811,-121.7601729
MLS Listing,,Single Family Residential,20861 Hanford Dr,Cupertino,CA,95014,4488888,5,4.5,CUPERTINO,3673,9503,2002,1,1222,,Active,October-14-2023 02:00 PM,October-14-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/20861-Hanford-Dr-95014/home/1838144,MLSListings,ML81944587,N,Y,37.3282831,-122.0389295
MLS Listing,,Condo/Co-op,6945 Rodling Dr Unit E,San Jose,CA,95138,789950,2,2.5,SAN JOSE,1093,436,1986,1,723,350,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/6945-Rodling-Dr-95138/unit-E/home/1407723,MLSListings,ML81944406,N,Y,37.2362627,-121.7666941
MLS Listing,,Single Family Residential,216 S Claremont Ave,San Jose,CA,95127,1025000,3,2.0,SAN JOSE,1486,8400,1946,1,690,,Active,,,https://www.redfin.com/CA/San-Jose/216-S-Claremont-Ave-95127/home/944710,MLSListings,ML81943678,N,Y,37.3709284,-121.8178936
MLS Listing,,Single Family Residential,2149 Stebbins Ave,Santa Clara,CA,95051,1499950,3,2.0,SANTA CLARA,1591,6000,1959,1,943,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2149-Stebbins-Ave-95051/home/1855963,MLSListings,ML81944578,N,Y,37.3617315,-121.9743048
MLS Listing,,Condo/Co-op,600 Pennsylvania Ave #21,Los Gatos,CA,95030,888000,1,1.5,LOS GATOS,864,,1962,1,1028,692,Active,October-11-2023 09:30 AM,October-11-2023 12:00 PM,https://www.redfin.com/CA/Los-Gatos/600-Pennsylvania-Ave-95030/unit-21/home/795469,MLSListings,ML81944574,N,Y,37.22596,-121.9932964
MLS Listing,,Single Family Residential,15376 Karl Ave,Monte Sereno,CA,95030,8500000,5,5.5,MONTE SERENO,5552,42875,2008,1,1531,,Active,October-12-2023 05:00 PM,October-12-2023 07:00 PM,https://www.redfin.com/CA/Monte-Sereno/15376-Karl-Ave-95030/home/677297,MLSListings,ML81941776,N,Y,37.2450124,-121.9787254
MLS Listing,,Condo/Co-op,425 1st St #35,Los Altos,CA,94022,2699000,2,2.5,LOS ALTOS,1332,,2023,1,2026,544,Active,,,https://www.redfin.com/CA/Los-Altos/425-1st-St-94022/unit-35/home/187919619,MLSListings,ML81944570,N,Y,37.3752705,-122.1154079
MLS Listing,,Condo/Co-op,1101 S Main St #118,Milpitas,CA,95035,699000,1,1.0,MILPITAS,926,,2007,1,755,579,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Milpitas/1101-S-Main-St-95035/unit-118/home/167192848,MLSListings,ML81944568,N,Y,37.4134676,-121.9025407
MLS Listing,,Single Family Residential,17175 Wedgewood Ave,Los Gatos,CA,95032,2948000,6,5.5,LOS GATOS,3144,11854,1977,1,938,,Active,,,https://www.redfin.com/CA/Los-Gatos/17175-Wedgewood-Ave-95032/home/821373,MLSListings,ML81944565,N,Y,37.2595927,-121.9707202
MLS Listing,,Single Family Residential,21126 Locust Dr,Los Gatos,CA,95033,1198000,3,2.0,LOS GATOS,1437,10476,1929,1,834,,Active,October-11-2023 11:30 AM,October-11-2023 02:00 PM,https://www.redfin.com/CA/Los-Gatos/21126-Locust-Dr-95033/home/1496872,MLSListings,ML81944563,N,Y,37.1618018,-121.9724388
MLS Listing,,Single Family Residential,3379 Shady Spring Ln,Mountain View,CA,94040,4198000,5,3.0,MOUNTAIN VIEW,3277,8100,1992,1,1281,,Active,October-13-2023 10:00 AM,October-13-2023 01:00 PM,https://www.redfin.com/CA/Mountain-View/3379-Shady-Spring-Ln-94040/home/1223812,MLSListings,ML81944562,N,Y,37.3617268,-122.0707614
MLS Listing,,Townhouse,3173 Payne Ave #4,San Jose,CA,95117,715000,1,1.5,SAN JOSE,1070,1540,1976,1,668,375,Active,October-14-2023 02:30 PM,October-14-2023 05:30 PM,https://www.redfin.com/CA/San-Jose/3173-Payne-Ave-95117/unit-4/home/1083164,MLSListings,ML81944301,N,Y,37.30181,-121.9518882
MLS Listing,,Single Family Residential,5941 Moraga Ave,San Jose,CA,95123,1090000,3,2.0,SAN JOSE,1072,6121,1971,1,1017,,Active,October-13-2023 05:00 PM,October-13-2023 07:00 PM,https://www.redfin.com/CA/San-Jose/5941-Moraga-Ave-95123/home/1080809,MLSListings,ML81944558,N,Y,37.2409543,-121.8513769
MLS Listing,,Single Family Residential,2165 Denise Dr,Santa Clara,CA,95050,1799000,4,2.5,SANTA CLARA,2058,6351,1963,1,874,,Active,October-14-2023 02:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2165-Denise-Dr-95050/home/1414019,MLSListings,ML81943218,N,Y,37.3487212,-121.9621307
MLS Listing,,Multi-Family (2-4 Unit),1673 Whitwood Ln,Campbell,CA,95008,2795000,6,6.0,CAMPBELL,3300,9093,1962,1,847,,Active,,,https://www.redfin.com/CA/Campbell/1673-Whitwood-Ln-95008/home/1532256,MLSListings,ML81944557,N,Y,37.284663,-121.9789031
MLS Listing,,Condo/Co-op,20488 Stevens Creek Blvd #2217,Cupertino,CA,95014,835000,1,1.0,CUPERTINO,875,,2003,1,954,578,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/20488-Stevens-Creek-Blvd-95014/unit-2217/home/1052232,MLSListings,ML81944554,N,Y,37.3224608,-122.0307813
MLS Listing,,Single Family Residential,2774 Stacia Dr,San Jose,CA,95124,1999000,3,2.5,SAN JOSE,2002,8525,1960,1,999,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2774-Stacia-Dr-95124/home/1581086,MLSListings,ML81944550,N,Y,37.2727303,-121.9093341
MLS Listing,,Mobile/Manufactured Home,5450 Monterey Rd #97,San Jose,CA,95111,318000,2,2.0,SAN JOSE,1440,,1975,1,221,,Active,,,https://www.redfin.com/CA/San-Jose/5450-Monterey-Hwy-95111/unit-97/home/145361424,MLSListings,ML81944548,N,Y,37.2588917,-121.8011412
